from,to,weight
N255,N594,6.161
N255,N592,8.06
N257,N625,1.825
N257,N624,3.206
N257,N626,6.807
N258,N631,8.324
N258,N630,8.443
N258,N636,9.688
N259,N633,3.324
N259,N632,4.968
N259,N636,6.282
N260,N623,3.302
N260,N261,7.003
N260,N633,7.558
N261,N623,3.701
N261,N633,7.566
N262,N633,3.833
N262,N634,5.324
N262,N632,5.381
N263,N635,6.612
N263,N631,8.465
N263,N630,8.698
N264,N642,2.683
N264,N641,4.919
N264,N644,7.497
N265,N646,2.828
N265,N647,5.438
N265,N645,6.083
N266,N645,4.215
N266,N646,5.174
N266,N265,7.703
N267,N651,4.876
N267,N643,12.238
N267,N650,16.269
N268,N578,4.105
N268,N653,5.0
N268,N638,6.378
N269,N659,5.001
N269,N652,5.301
N269,N657,8.387
N270,N272,4.22
N270,N665,5.0
N270,N666,6.08
N271,N663,4.924
N271,N664,5.325
N271,N662,8.431
N272,N666,5.921
N272,N665,7.993
N273,N661,3.585
N273,N666,9.338
N273,N272,9.705
N577,N579,5.001
N577,N580,10.0
N577,N581,15.001
N578,N589,5.0
N578,N638,5.001
N579,N580,5.0
N579,N581,10.0
N580,N581,5.001
N581,N582,5.001
N582,N583,5.0
N582,N584,10.0
N583,N584,5.001
N583,N581,10.0
N584,N585,5.0
N585,N586,5.001
N585,N583,10.0
N586,N587,5.001
N586,N584,10.0
N587,N578,9.901
N587,N585,10.002
N588,N610,5.0
N588,N609,8.101
N589,N590,5.001
N589,N268,6.622
N590,N591,5.0
N590,N578,10.0
N591,N592,5.001
N591,N589,10.0
N592,N593,5.0
N593,N594,5.001
N594,N595,5.0
N595,N622,3.0
N595,N596,5.001
N596,N622,2.002
N596,N597,5.0
N597,N598,5.0
N597,N622,7.001
N598,N599,5.001
N598,N596,10.0
N599,N600,5.0
N599,N597,10.0
N600,N601,5.001
N600,N598,10.0
N601,N602,5.0
N601,N599,10.0
N602,N603,5.001
N602,N600,10.0
N603,N604,5.0
N603,N601,10.0
N604,N605,5.001
N605,N606,5.0
N606,N607,5.0
N607,N608,5.001
N607,N605,10.0
N608,N609,5.0
N608,N606,10.0
N609,N610,9.572
N610,N611,5.0
N611,N612,5.0
N612,N613,5.0
N612,N610,10.0
N613,N614,5.0
N613,N611,10.0
N614,N615,5.0
N614,N612,10.0
N615,N616,5.0
N615,N613,10.0
N616,N617,5.0
N617,N618,5.0
N618,N619,5.0
N619,N620,5.0
N620,N621,5.0
N620,N251,9.402
N621,N619,10.0
N621,N248,13.559
N622,N624,5.0
N623,N633,6.7
N624,N625,5.001
N625,N626,5.0
N626,N627,5.0
N627,N628,5.0
N627,N625,10.0
N628,N629,5.001
N628,N626,10.0
N629,N630,5.0
N629,N631,10.0
N630,N631,5.0
N631,N632,5.0
N632,N633,5.001
N634,N635,5.009
N634,N261,8.86
N635,N262,6.727
N636,N632,9.58
N636,N633,9.588
N637,N644,5.632
N637,N641,5.8
N637,N645,7.201
N638,N639,5.001
N639,N640,5.001
N639,N578,10.002
N640,N637,7.301
N640,N641,9.386
N641,N642,5.604
N642,N644,5.0
N643,N650,7.101
N643,N651,9.009
N643,N649,12.1
N644,N645,5.001
N645,N646,5.0
N646,N647,5.001
N647,N648,5.0
N648,N649,5.001
N648,N646,10.0
N649,N650,5.0
N649,N647,10.0
N650,N648,10.0
N651,N650,11.639
N652,N657,6.6
N652,N659,10.302
N653,N654,5.001
N653,N578,9.102
N654,N655,5.0
N654,N656,10.0
N655,N656,5.0
N655,N653,10.0
N656,N657,5.001
N658,N662,5.001
N658,N660,5.301
N658,N663,10.004
N659,N660,5.001
N660,N662,7.292
N661,N666,6.103
N661,N272,8.281
N662,N663,5.004
N663,N664,5.001
N664,N665,5.001
N665,N666,5.001
