from,to,weight
N577,N579,50.01
N579,N580,50.0
N580,N581,50.01
N581,N582,50.01
N582,N583,50.0
N583,N584,50.01
N584,N585,50.0
N585,N586,50.01
N586,N587,50.01
N587,N578,99.005
N578,N589,50.0
N589,N590,50.01
N590,N591,50.0
N591,N592,50.01
N592,N593,50.0
N593,N594,50.01
N594,N595,50.0
N595,N596,50.01
N596,N597,50.0
N597,N598,50.0
N598,N599,50.01
N599,N600,50.0
N600,N601,50.01
N601,N602,50.0
N602,N603,50.01
N603,N604,50.0
N604,N605,50.01
N605,N606,50.0
N606,N607,50.0
N607,N608,50.01
N608,N609,50.0
N609,N588,81.006
N588,N610,50.0
N610,N611,50.0
N611,N612,50.0
N612,N613,50.0
N613,N614,50.0
N614,N615,50.0
N615,N616,50.0
N616,N617,50.0
N617,N618,50.0
N618,N619,50.0
N619,N620,50.0
N620,N621,50.0
N621,N274,53.0
N622,N624,50.0
N624,N625,50.01
N625,N626,50.0
N626,N627,50.0
N627,N628,50.0
N628,N629,50.01
N629,N630,50.0
N630,N631,50.0
N631,N632,50.0
N632,N633,50.01
N633,N623,67.0
N633,N634,90.139
N634,N635,50.09
N635,N263,66.121
N633,N636,95.88
N636,N258,96.876
N578,N638,50.01
N638,N639,50.01
N639,N640,50.01
N640,N637,73.007
N637,N641,58.0
N641,N642,56.036
N642,N644,50.0
N644,N645,50.01
N645,N646,50.0
N646,N647,50.01
N647,N648,50.0
N648,N649,50.01
N649,N650,50.0
N650,N643,71.007
N643,N651,90.089
N578,N268,41.049
N268,N653,50.0
N653,N654,50.01
N654,N655,50.0
N655,N656,50.0
N656,N657,50.01
N657,N652,66.0
N652,N269,53.009
N269,N659,50.01
N659,N660,50.01
N660,N658,53.009
N658,N662,50.01
N662,N663,50.04
N663,N664,50.01
N664,N665,50.01
N665,N666,50.01
N666,N661,61.033
N248,N619,6.772
N248,N618,7.201
N248,N249,8.502
N249,N617,6.712
N249,N616,8.127
N250,N617,5.803
N250,N616,7.529
N250,N618,7.79
N251,N619,6.277
N251,N618,6.356
N251,N250,7.8
N252,N610,6.297
N252,N611,7.325
N252,N588,8.698
N254,N605,5.116
N254,N606,6.868
N254,N604,7.359
N255,N593,5.096
