id,x,y,name,type,floor
ห้อง2205,2573.0,696.0,ห้อง2205,room,2
ห้อง 2204,2073.0,511.0,ห้อง 2204,room,2
ห้อง 2203,2076.0,868.0,ห้อง 2203,room,2
ห้องปฏิบัติการ 4,1748.0,499.0,ห้องปฏิบัติการ 4,room,2
ห้องปฏิบัติการ 5,1748.0,708.0,ห้องปฏิบัติการ 5,room,2
ห้องปฏิบัติการ 6,1744.0,918.0,ห้องปฏิบัติการ 6,room,2
ห้องปฏิบัติการ 3,1394.0,499.0,ห้องปฏิบัติการ 3,room,2
ห้องปฏิบัติการ 2,1397.0,724.0,ห้องปฏิบัติการ 2,room,2
ห้องปฏิบัติการ 1,1397.0,911.0,ห้องปฏิบัติการ 1,room,2
ห้องน้ำหญิง,1957.0,1252.0,ห้องน้ำหญิง,room,2
ห้องน้ำชาย,1523.0,1261.0,ห้องน้ำชาย,room,2
ลิฟท์ ชั้น2,1335.0,1258.0,ลิฟท์ ชั้น2,elevator,2
ห้อง 2201,1032.0,986.0,ห้อง 2201,room,2
MS1,1029.0,1333.0,MS1,room,2
MS2,822.0,1336.0,MS2,room,2
MS3,1022.0,1693.0,MS3,room,2
MS4,1301.0,1639.0,MS4,room,2
MS5,1523.0,1618.0,MS5,room,2
ชมรมวัสดุศาสตร์,1510.0,1893.0,ชมรมวัสดุศาสตร์,room,2
ห้องครุภัณฑ์,1304.0,1833.0,ห้องครุภัณฑ์,room,2
บันไดขวา,2323.0,424.0,บันไดขวา,stair,2
บันไดซ้าย,1188.0,508.0,บันไดซ้าย,stair,2
ประตู2205 1,2385.0,668.0,ประตู2205 1,door,2
ประตู 2205 2,2382.0,749.0,ประตู 2205 2,door,2
2203,2260.0,749.0,2203,door,2
2204,2260.0,671.0,2204,door,2
main,1566.0,1074.0,main,door,2
lab2,1529.0,664.0,lab2,door,2
lab1,1485.0,780.0,lab1,door,2
lab3,1535.0,586.0,lab3,door,2
lab4,1604.0,586.0,lab4,door,2
lab5,1601.0,668.0,lab5,door,2
lab6,1651.0,780.0,lab6,door,2
